epoch,train_loss,val_loss,val_bce,val_dice_loss,val_precision,val_recall,val_f1,val_iou,learning_rate
1,0.457055,0.261777,0.147690,0.228174,0.9824,0.9984,0.9903,0.9808,0.000998
2,0.209122,0.170390,0.097515,0.145752,0.9989,0.9906,0.9947,0.9895,0.000994
3,0.123702,0.087451,0.045648,0.083606,0.9967,0.9988,0.9978,0.9955,0.000986
4,0.078842,0.056352,0.029221,0.054263,0.9956,0.9994,0.9975,0.9950,0.000976
5,0.051301,0.036258,0.018923,0.034670,0.9980,0.9995,0.9987,0.9974,0.000962
6,0.033754,0.025735,0.013733,0.024004,0.9985,0.9996,0.9990,0.9980,0.000946
7,0.024283,0.018710,0.009906,0.017608,0.9985,0.9998,0.9991,0.9982,0.000927
8,0.017326,0.014184,0.007551,0.013266,0.9994,0.9996,0.9995,0.9991,0.000905
9,0.014337,0.011961,0.006605,0.010711,0.9996,0.9994,0.9995,0.9991,0.000881
10,0.011933,0.009850,0.005226,0.009249,0.9985,0.9999,0.9992,0.9984,0.000855
11,0.009686,0.007600,0.004069,0.007064,0.9994,0.9999,0.9996,0.9993,0.000826
12,0.007388,0.006716,0.003835,0.005763,0.9997,0.9997,0.9997,0.9994,0.000796
13,0.006475,0.005683,0.003034,0.005298,0.9996,0.9999,0.9997,0.9994,0.000764
14,0.005618,0.004884,0.002699,0.004370,0.9996,0.9999,0.9997,0.9995,0.000730
15,0.005118,0.004545,0.002621,0.003849,0.9998,0.9998,0.9998,0.9995,0.000694
16,0.004977,0.004167,0.002422,0.003489,0.9997,0.9998,0.9997,0.9995,0.000658
17,0.004874,0.004109,0.002187,0.003844,0.9990,1.0000,0.9995,0.9990,0.000621
18,0.003793,0.003708,0.002021,0.003375,0.9991,1.0000,0.9995,0.9991,0.000582
19,0.003434,0.003105,0.001751,0.002707,0.9997,0.9999,0.9998,0.9996,0.000544
20,0.003112,0.002876,0.001613,0.002526,0.9997,0.9999,0.9998,0.9996,0.000505
21,0.002938,0.003297,0.001794,0.003007,0.9989,1.0000,0.9995,0.9989,0.000466
22,0.002805,0.002651,0.001561,0.002179,0.9998,0.9999,0.9998,0.9997,0.000428
23,0.002572,0.002451,0.001358,0.002187,0.9996,0.9999,0.9998,0.9995,0.000389
24,0.002566,0.002466,0.001353,0.002226,0.9994,1.0000,0.9997,0.9994,0.000352
25,0.002493,0.002501,0.001535,0.001931,0.9999,0.9998,0.9998,0.9996,0.000316
26,0.002626,0.002246,0.001247,0.001999,0.9996,1.0000,0.9998,0.9995,0.000280
27,0.002307,0.002137,0.001252,0.001769,0.9997,0.9999,0.9998,0.9996,0.000246
28,0.002215,0.002168,0.001316,0.001705,0.9998,0.9999,0.9998,0.9997,0.000214
29,0.002099,0.002177,0.001334,0.001686,0.9998,0.9998,0.9998,0.9997,0.000184
30,0.002031,0.001986,0.001127,0.001718,0.9997,1.0000,0.9998,0.9996,0.000155
31,0.002019,0.001965,0.001098,0.001733,0.9996,1.0000,0.9998,0.9996,0.000129
32,0.002015,0.001913,0.001076,0.001674,0.9997,1.0000,0.9998,0.9996,0.000105
33,0.001979,0.001981,0.001199,0.001564,0.9998,0.9999,0.9999,0.9997,0.000083
34,0.001923,0.001905,0.001067,0.001675,0.9996,1.0000,0.9998,0.9996,0.000064
35,0.001892,0.001910,0.001064,0.001691,0.9996,1.0000,0.9998,0.9995,0.000048
36,0.001854,0.001820,0.001039,0.001562,0.9997,0.9999,0.9998,0.9996,0.000034
37,0.001832,0.001813,0.001045,0.001535,0.9997,0.9999,0.9998,0.9997,0.000024
38,0.001803,0.001810,0.001032,0.001555,0.9997,0.9999,0.9998,0.9996,0.000016
39,0.001813,0.001803,0.001038,0.001529,0.9997,0.9999,0.9998,0.9997,0.000012
40,0.001838,0.001803,0.001029,0.001548,0.9997,0.9999,0.9998,0.9996,0.000010
