variant_name,mask_name,width,method,sigma,keep_ratio,feather_radius,edit_coverage_percent,mean_abs_removed_inside,mean_abs_removed_outside,removed_inside_outside_ratio
B_sato95_width2_mg_sigma15_keep0.0,B_sato95,2,masked_gaussian,15.0,0.0,2.0,10.230577359148787,269.0943298339844,2.885960817337036,93.24254446471865
B_sato95_width2_mg_sigma15_keep0.1,B_sato95,2,masked_gaussian,15.0,0.1,2.0,10.230577359148787,242.18495178222656,2.597363233566284,93.24261953523416
B_sato95_width2_mg_sigma15_keep0.2,B_sato95,2,masked_gaussian,15.0,0.2,2.0,10.230577359148787,215.2754669189453,2.308769702911377,93.24250341967033
B_sato95_width2_mg_sigma25_keep0.0,B_sato95,2,masked_gaussian,25.0,0.0,2.0,10.230577359148787,239.42750549316406,3.348306179046631,71.50705242891995
B_sato95_width2_mg_sigma25_keep0.1,B_sato95,2,masked_gaussian,25.0,0.1,2.0,10.230577359148787,215.4847869873047,3.013477087020874,71.50702685459379
B_sato95_width2_mg_sigma25_keep0.2,B_sato95,2,masked_gaussian,25.0,0.2,2.0,10.230577359148787,191.5420379638672,2.6786441802978516,71.50708532798436
B_sato95_width2_side_sigma15_keep0.0,B_sato95,2,side_band,15.0,0.0,2.0,10.230577359148787,215.41188049316406,3.4888429641723633,61.74307147248311
B_sato95_width2_side_sigma15_keep0.1,B_sato95,2,side_band,15.0,0.1,2.0,10.230577359148787,193.87069702148438,3.1399576663970947,61.74309262071641
B_sato95_width2_side_sigma15_keep0.2,B_sato95,2,side_band,15.0,0.2,2.0,10.230577359148787,172.3295135498047,2.7910728454589844,61.74310850760528
B_sato95_width2_side_sigma25_keep0.0,B_sato95,2,side_band,25.0,0.0,2.0,10.230577359148787,210.3220672607422,3.737990617752075,56.26607682263903
B_sato95_width2_side_sigma25_keep0.1,B_sato95,2,side_band,25.0,0.1,2.0,10.230577359148787,189.28982543945312,3.364194631576538,56.2660149513251
B_sato95_width2_side_sigma25_keep0.2,B_sato95,2,side_band,25.0,0.2,2.0,10.230577359148787,168.2576446533203,2.9903926849365234,56.26607017228304
B_sato95_width4_mg_sigma15_keep0.0,B_sato95,4,masked_gaussian,15.0,0.0,2.0,14.913134484563056,241.75608825683594,2.6720850467681885,90.4746982320915
B_sato95_width4_mg_sigma15_keep0.1,B_sato95,4,masked_gaussian,15.0,0.1,2.0,14.913134484563056,217.58050537109375,2.4048779010772705,90.47465789162437
B_sato95_width4_mg_sigma15_keep0.2,B_sato95,4,masked_gaussian,15.0,0.2,2.0,14.913134484563056,193.40489196777344,2.137669563293457,90.47464364408084
B_sato95_width4_mg_sigma25_keep0.0,B_sato95,4,masked_gaussian,25.0,0.0,2.0,14.913134484563056,242.38241577148438,2.9932589530944824,80.97609313785073
B_sato95_width4_mg_sigma25_keep0.1,B_sato95,4,masked_gaussian,25.0,0.1,2.0,14.913134484563056,218.1441192626953,2.693932294845581,80.9760956799397
B_sato95_width4_mg_sigma25_keep0.2,B_sato95,4,masked_gaussian,25.0,0.2,2.0,14.913134484563056,193.90591430664062,2.394605875015259,80.97612902808277
B_sato95_width4_side_sigma15_keep0.0,B_sato95,4,side_band,15.0,0.0,2.0,14.913134484563056,242.59292602539062,3.2021543979644775,75.75928449284031
B_sato95_width4_side_sigma15_keep0.1,B_sato95,4,side_band,15.0,0.1,2.0,14.913134484563056,218.3336639404297,2.881936550140381,75.75935838344343
B_sato95_width4_side_sigma15_keep0.2,B_sato95,4,side_band,15.0,0.2,2.0,14.913134484563056,194.0743865966797,2.5617222785949707,75.75933902683775
B_sato95_width4_side_sigma25_keep0.0,B_sato95,4,side_band,25.0,0.0,2.0,14.913134484563056,245.40347290039062,3.296678304672241,74.43961776694765
B_sato95_width4_side_sigma25_keep0.1,B_sato95,4,side_band,25.0,0.1,2.0,14.913134484563056,220.86317443847656,2.9670093059539795,74.43966353434226
B_sato95_width4_side_sigma25_keep0.2,B_sato95,4,side_band,25.0,0.2,2.0,14.913134484563056,196.32276916503906,2.6373424530029297,74.43961967908344
B_sato95_width6_mg_sigma15_keep0.0,B_sato95,6,masked_gaussian,15.0,0.0,2.0,18.831065759637188,236.40321350097656,2.3611156940460205,100.12351961282963
B_sato95_width6_mg_sigma15_keep0.1,B_sato95,6,masked_gaussian,15.0,0.1,2.0,18.831065759637188,212.7628631591797,2.125002145767212,100.12359920811453
B_sato95_width6_mg_sigma15_keep0.2,B_sato95,6,masked_gaussian,15.0,0.2,2.0,18.831065759637188,189.1226043701172,1.8888911008834839,100.12361447500048
B_sato95_width6_mg_sigma25_keep0.0,B_sato95,6,masked_gaussian,25.0,0.0,2.0,18.831065759637188,241.26220703125,2.6070468425750732,92.54233682772907
B_sato95_width6_mg_sigma25_keep0.1,B_sato95,6,masked_gaussian,25.0,0.1,2.0,18.831065759637188,217.13597106933594,2.346343994140625,92.54225791766925
B_sato95_width6_mg_sigma25_keep0.2,B_sato95,6,masked_gaussian,25.0,0.2,2.0,18.831065759637188,193.00975036621094,2.0856385231018066,92.54228296433779
B_sato95_width6_side_sigma15_keep0.0,B_sato95,6,side_band,15.0,0.0,2.0,18.831065759637188,247.44378662109375,2.7644593715667725,89.50892502386593
B_sato95_width6_side_sigma15_keep0.1,B_sato95,6,side_band,15.0,0.1,2.0,18.831065759637188,222.69935607910156,2.488011360168457,89.50897879502574
B_sato95_width6_side_sigma15_keep0.2,B_sato95,6,side_band,15.0,0.2,2.0,18.831065759637188,197.9549560546875,2.2115676403045654,89.5088861163777
B_sato95_width6_side_sigma25_keep0.0,B_sato95,6,side_band,25.0,0.0,2.0,18.831065759637188,250.45887756347656,2.838268756866455,88.24353823349402
B_sato95_width6_side_sigma25_keep0.1,B_sato95,6,side_band,25.0,0.1,2.0,18.831065759637188,225.41294860839844,2.5544419288635254,88.24352045798315
B_sato95_width6_side_sigma25_keep0.2,B_sato95,6,side_band,25.0,0.2,2.0,18.831065759637188,200.36708068847656,2.270615577697754,88.24350658759896
C_sato90_width2_mg_sigma15_keep0.0,C_sato90,2,masked_gaussian,15.0,0.0,2.0,19.13162393162393,249.7497100830078,4.970790386199951,50.2434604316388
C_sato90_width2_mg_sigma15_keep0.1,C_sato90,2,masked_gaussian,15.0,0.1,2.0,19.13162393162393,224.7747344970703,4.47371244430542,50.24344709128224
C_sato90_width2_mg_sigma15_keep0.2,C_sato90,2,masked_gaussian,15.0,0.2,2.0,19.13162393162393,199.79978942871094,3.976632595062256,50.243462188787646
C_sato90_width2_mg_sigma25_keep0.0,C_sato90,2,masked_gaussian,25.0,0.0,2.0,19.13162393162393,229.73489379882812,5.833853721618652,39.379611618901926
C_sato90_width2_mg_sigma25_keep0.1,C_sato90,2,masked_gaussian,25.0,0.1,2.0,19.13162393162393,206.76138305664062,5.250470161437988,39.379593960022284
C_sato90_width2_mg_sigma25_keep0.2,C_sato90,2,masked_gaussian,25.0,0.2,2.0,19.13162393162393,183.7879638671875,4.667080879211426,39.37963978422445
C_sato90_width2_side_sigma15_keep0.0,C_sato90,2,side_band,15.0,0.0,2.0,19.13162393162393,211.74842834472656,6.245792388916016,33.90257234942713
C_sato90_width2_side_sigma15_keep0.1,C_sato90,2,side_band,15.0,0.1,2.0,19.13162393162393,190.57357788085938,5.621212005615234,33.90257789432038
C_sato90_width2_side_sigma15_keep0.2,C_sato90,2,side_band,15.0,0.2,2.0,19.13162393162393,169.39874267578125,4.996626853942871,33.90262023310938
C_sato90_width2_side_sigma25_keep0.0,C_sato90,2,side_band,25.0,0.0,2.0,19.13162393162393,209.82777404785156,6.583628177642822,31.871145876737152
C_sato90_width2_side_sigma25_keep0.1,C_sato90,2,side_band,25.0,0.1,2.0,19.13162393162393,188.84506225585938,5.925267219543457,31.87114694726121
C_sato90_width2_side_sigma25_keep0.2,C_sato90,2,side_band,25.0,0.2,2.0,19.13162393162393,167.86228942871094,5.266902923583984,31.871156895081942
C_sato90_width4_mg_sigma15_keep0.0,C_sato90,4,masked_gaussian,15.0,0.0,2.0,26.61904761904762,224.21652221679688,3.953465700149536,56.7139161491438
C_sato90_width4_mg_sigma15_keep0.1,C_sato90,4,masked_gaussian,15.0,0.1,2.0,26.61904761904762,201.79478454589844,3.5581202507019043,56.713874272824455
C_sato90_width4_mg_sigma15_keep0.2,C_sato90,4,masked_gaussian,15.0,0.2,2.0,26.61904761904762,179.37315368652344,3.1627726554870605,56.71389417615296
C_sato90_width4_mg_sigma25_keep0.0,C_sato90,4,masked_gaussian,25.0,0.0,2.0,26.61904761904762,225.47897338867188,4.382705211639404,51.44744227602949
C_sato90_width4_mg_sigma25_keep0.1,C_sato90,4,masked_gaussian,25.0,0.1,2.0,26.61904761904762,202.93101501464844,3.944431781768799,51.447464740700426
C_sato90_width4_mg_sigma25_keep0.2,C_sato90,4,masked_gaussian,25.0,0.2,2.0,26.61904761904762,180.38314819335938,3.5061628818511963,51.447452463509066
C_sato90_width4_side_sigma15_keep0.0,C_sato90,4,side_band,15.0,0.0,2.0,26.61904761904762,227.81597900390625,4.6119208335876465,49.397200694506836
C_sato90_width4_side_sigma15_keep0.1,C_sato90,4,side_band,15.0,0.1,2.0,26.61904761904762,205.03433227539062,4.150729656219482,49.39717814870591
C_sato90_width4_side_sigma15_keep0.2,C_sato90,4,side_band,15.0,0.2,2.0,26.61904761904762,182.25277709960938,3.689539670944214,49.39715882034896
C_sato90_width4_side_sigma25_keep0.0,C_sato90,4,side_band,25.0,0.0,2.0,26.61904761904762,230.02969360351562,4.784778594970703,48.07530568818808
C_sato90_width4_side_sigma25_keep0.1,C_sato90,4,side_band,25.0,0.1,2.0,26.61904761904762,207.0268096923828,4.30629825592041,48.07535321264778
C_sato90_width4_side_sigma25_keep0.2,C_sato90,4,side_band,25.0,0.2,2.0,26.61904761904762,184.0238494873047,3.8278234004974365,48.075323815458745
C_sato90_width6_mg_sigma15_keep0.0,C_sato90,6,masked_gaussian,15.0,0.0,2.0,32.88365602651317,217.12152099609375,3.741483688354492,58.03086130560788
C_sato90_width6_mg_sigma15_keep0.1,C_sato90,6,masked_gaussian,15.0,0.1,2.0,32.88365602651317,195.40927124023438,3.367337465286255,58.03079532559496
C_sato90_width6_mg_sigma15_keep0.2,C_sato90,6,masked_gaussian,15.0,0.2,2.0,32.88365602651317,173.6972198486328,2.993185520172119,58.030890059445625
C_sato90_width6_mg_sigma25_keep0.0,C_sato90,6,masked_gaussian,25.0,0.0,2.0,32.88365602651317,219.08628845214844,4.133129596710205,53.007359998227926
C_sato90_width6_mg_sigma25_keep0.1,C_sato90,6,masked_gaussian,25.0,0.1,2.0,32.88365602651317,197.17771911621094,3.7198171615600586,53.007368521714206
C_sato90_width6_mg_sigma25_keep0.2,C_sato90,6,masked_gaussian,25.0,0.2,2.0,32.88365602651317,175.26905822753906,3.306501626968384,53.00740117531325
C_sato90_width6_side_sigma15_keep0.0,C_sato90,6,side_band,15.0,0.0,2.0,32.88365602651317,225.56967163085938,4.428889274597168,50.93143170786905
C_sato90_width6_side_sigma15_keep0.1,C_sato90,6,side_band,15.0,0.1,2.0,32.88365602651317,203.0126495361328,3.98599910736084,50.93143376806951
C_sato90_width6_side_sigma15_keep0.2,C_sato90,6,side_band,15.0,0.2,2.0,32.88365602651317,180.4557342529297,3.543112277984619,50.93141850858192
C_sato90_width6_side_sigma25_keep0.0,C_sato90,6,side_band,25.0,0.0,2.0,32.88365602651317,228.43373107910156,4.565451622009277,50.035297708086716
C_sato90_width6_side_sigma25_keep0.1,C_sato90,6,side_band,25.0,0.1,2.0,32.88365602651317,205.59030151367188,4.1089067459106445,50.03528048386202
C_sato90_width6_side_sigma25_keep0.2,C_sato90,6,side_band,25.0,0.2,2.0,32.88365602651317,182.74696350097656,3.6523587703704834,50.03532648093038
D_sato85_width2_mg_sigma15_keep0.0,D_sato85,2,masked_gaussian,15.0,0.0,2.0,27.620355834641547,239.4839630126953,6.665769577026367,35.92742897055411
D_sato85_width2_mg_sigma15_keep0.1,D_sato85,2,masked_gaussian,15.0,0.1,2.0,27.620355834641547,215.5355987548828,5.9991960525512695,35.92741375125127
D_sato85_width2_mg_sigma15_keep0.2,D_sato85,2,masked_gaussian,15.0,0.2,2.0,27.620355834641547,191.58717346191406,5.332615852355957,35.92742825779783
D_sato85_width2_mg_sigma25_keep0.0,D_sato85,2,masked_gaussian,25.0,0.0,2.0,27.620355834641547,223.40000915527344,7.795835494995117,28.656326739923514
D_sato85_width2_mg_sigma25_keep0.1,D_sato85,2,masked_gaussian,25.0,0.1,2.0,27.620355834641547,201.06002807617188,7.0162529945373535,28.656325282556267
D_sato85_width2_mg_sigma25_keep0.2,D_sato85,2,masked_gaussian,25.0,0.2,2.0,27.620355834641547,178.7200469970703,6.236667156219482,28.656338797693046
D_sato85_width2_side_sigma15_keep0.0,D_sato85,2,side_band,15.0,0.0,2.0,27.620355834641547,209.37008666992188,8.362488746643066,25.036815356429486
D_sato85_width2_side_sigma15_keep0.1,D_sato85,2,side_band,15.0,0.1,2.0,27.620355834641547,188.43313598632812,7.526239395141602,25.036824646843815
D_sato85_width2_side_sigma15_keep0.2,D_sato85,2,side_band,15.0,0.2,2.0,27.620355834641547,167.49610900878906,6.689991474151611,25.03681950208016
D_sato85_width2_side_sigma25_keep0.0,D_sato85,2,side_band,25.0,0.0,2.0,27.620355834641547,207.21401977539062,8.776583671569824,23.609872306763673
D_sato85_width2_side_sigma25_keep0.1,D_sato85,2,side_band,25.0,0.1,2.0,27.620355834641547,186.49270629882812,7.898924350738525,23.609886361475485
D_sato85_width2_side_sigma25_keep0.2,D_sato85,2,side_band,25.0,0.2,2.0,27.620355834641547,165.7712860107422,7.021266937255859,23.609882303596198
D_sato85_width4_mg_sigma15_keep0.0,D_sato85,4,masked_gaussian,15.0,0.0,2.0,37.38705738705739,214.11196899414062,5.389951705932617,39.72428338429668
D_sato85_width4_mg_sigma15_keep0.1,D_sato85,4,masked_gaussian,15.0,0.1,2.0,37.38705738705739,192.70077514648438,4.850958824157715,39.72426527037024
