variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
C90b_wc3_h4_kc0.00_kh0.2_s10,C90b,3,4,0.0,0.2,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,198.90719604492188,169.08506774902344,0.0,198907196.04492188
C90b_wc3_h4_kc0.00_kh0.3_s10,C90b,3,4,0.0,0.3,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,198.90719604492188,147.9493408203125,0.0,198907196.04492188
C90b_wc3_h4_kc0.05_kh0.2_s10,C90b,3,4,0.05,0.2,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,188.9618377685547,169.08506774902344,0.0,188961837.7685547
C90b_wc3_h4_kc0.05_kh0.3_s10,C90b,3,4,0.05,0.3,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,188.9618377685547,147.9493408203125,0.0,188961837.7685547
C90b_wc3_h4_kc0.10_kh0.2_s10,C90b,3,4,0.1,0.2,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,179.01646423339844,169.08506774902344,0.0,179016464.23339844
C90b_wc3_h4_kc0.10_kh0.3_s10,C90b,3,4,0.1,0.3,10.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,179.01646423339844,147.9493408203125,0.0,179016464.23339844
C90b_wc3_h4_kc0.00_kh0.2_s15,C90b,3,4,0.0,0.2,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,206.67889404296875,176.1427764892578,0.0,206678894.04296875
C90b_wc3_h4_kc0.00_kh0.3_s15,C90b,3,4,0.0,0.3,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,206.67889404296875,154.12489318847656,0.0,206678894.04296875
C90b_wc3_h4_kc0.05_kh0.2_s15,C90b,3,4,0.05,0.2,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,196.34494018554688,176.1427764892578,0.0,196344940.18554688
C90b_wc3_h4_kc0.05_kh0.3_s15,C90b,3,4,0.05,0.3,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,196.34494018554688,154.12489318847656,0.0,196344940.18554688
C90b_wc3_h4_kc0.10_kh0.2_s15,C90b,3,4,0.1,0.2,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,186.010986328125,176.1427764892578,0.0,186010986.328125
C90b_wc3_h4_kc0.10_kh0.3_s15,C90b,3,4,0.1,0.3,15.0,2.0,2.2777952206523637,5.310081981510553,7.587877202162916,186.010986328125,154.12489318847656,0.0,186010986.328125
C90b_wc3_h8_kc0.00_kh0.2_s10,C90b,3,8,0.0,0.2,10.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,217.40859985351562,169.6013946533203,0.0,217408599.85351562
