variant_name,core_threshold,halo_threshold,closing_len,closing_width,halo_dilate,keep_core,keep_halo,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,dir_bg_coverage_core_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_residual_after_suppress
v5_ct0.50_ht0.25_cl0,0.5,0.25,0,1,2,0.0,0.3,1.5818245246816676,29.02926914355486,30.611093668236528,56.11119687713649,486.5044250488281,146.83970642089844,0.0,-63.385162353515625
v5_ct0.50_ht0.25_cl15,0.5,0.25,15,1,2,0.0,0.3,3.9526774812489096,27.022012907727195,30.9746903889761,52.55530499940425,366.55560302734375,142.62994384765625,0.0,-67.7389907836914
v5_ct0.50_ht0.35_cl0,0.5,0.35,0,1,2,0.0,0.3,1.5818245246816676,12.4858189429618,14.067643467643467,69.68991906137661,428.85601806640625,153.447998046875,0.0,-0.5954382419586182
v5_ct0.50_ht0.35_cl15,0.5,0.35,15,1,2,0.0,0.3,3.9526774812489096,10.813622885051457,14.766300366300367,66.4847070037554,330.71240234375,148.92587280273438,0.0,-5.020366191864014
v5_ct0.60_ht0.35_cl0,0.6,0.35,0,1,2,0.0,0.3,0.7947845804988662,13.2728588871446,14.067643467643467,64.03160320421377,485.1786193847656,159.7890625,0.0,-7.3175554275512695
v5_ct0.60_ht0.35_cl15,0.6,0.35,15,1,2,0.0,0.3,1.7648526077097506,12.524646781789638,14.289499389499388,59.757459551883294,378.48468017578125,157.03875732421875,0.0,-8.762299537658691
v5_ct0.60_ht0.45_cl0,0.6,0.45,0,1,2,0.0,0.3,0.7947845804988662,6.539665096807953,7.33444967730682,71.16646548886206,448.5982971191406,168.17526245117188,0.0,32.948524475097656
v5_ct0.60_ht0.45_cl15,0.6,0.45,15,1,2,0.0,0.3,1.7648526077097506,5.903279260422117,7.668131868131868,67.50906808725131,356.8704833984375,165.5753631591797,0.0,34.821937561035156
v5_ct0.70_ht0.45_cl0,0.7,0.45,0,1,2,0.0,0.3,0.3641025641025641,6.970347113204256,7.33444967730682,65.58877071955543,502.60516357421875,175.21180725097656,0.0,30.35352897644043
v5_ct0.70_ht0.45_cl15,0.7,0.45,15,1,2,0.0,0.3,0.6985347985347986,6.727577184720042,7.426111983254841,61.228057032986236,410.7626647949219,173.6758270263672,0.0,35.64081954956055
