variant_name,core_threshold,halo_threshold,closing_len,closing_width,halo_dilate,keep_core,keep_halo,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,dir_bg_coverage_core_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_residual_after_suppress
v5_ct0.50_ht0.25_cl0,0.5,0.25,0,1,2,0.0,0.3,22.594331065759636,12.319187162044305,34.91351822780394,68.25071236508296,310.283203125,99.1306381225586,0.0,-92.28024291992188
v5_ct0.50_ht0.25_cl15,0.5,0.25,15,1,2,0.0,0.3,32.026705040990755,6.9423338566195705,38.969038897610325,62.85581705917625,265.5540466308594,100.18026733398438,0.0,-103.27864837646484
v5_ct0.50_ht0.35_cl0,0.5,0.35,0,1,2,0.0,0.3,22.594331065759636,11.339542996685854,33.93387406244549,68.78177271790342,308.7816467285156,98.03338623046875,0.0,-90.32179260253906
v5_ct0.50_ht0.35_cl15,0.5,0.35,15,1,2,0.0,0.3,32.026705040990755,6.213867085295656,38.24057212628641,63.30083857499438,264.71258544921875,98.57331085205078,0.0,-101.74695587158203
v5_ct0.50_ht0.45_cl0,0.5,0.45,0,1,2,0.0,0.3,22.594331065759636,10.557892900750044,33.15222396650968,69.22683201925682,307.5557556152344,97.14042663574219,0.0,-88.72853088378906
v5_ct0.50_ht0.45_cl15,0.5,0.45,15,1,2,0.0,0.3,32.026705040990755,5.656863771149485,37.68356881214024,63.66046127343361,264.0697326660156,97.2730712890625,0.0,-100.55215454101562
v5_ct0.60_ht0.25_cl0,0.6,0.25,0,1,2,0.0,0.3,22.020251177394034,12.893267050409907,34.91351822780394,68.03340565469047,314.10589599609375,99.81745147705078,0.0,-92.6753921508789
v5_ct0.60_ht0.25_cl15,0.6,0.25,15,1,2,0.0,0.3,31.23097854526426,7.467189952904238,38.6981684981685,62.68743660889419,268.0964660644531,100.9263687133789,0.0,-103.67237854003906
v5_ct0.60_ht0.35_cl0,0.6,0.35,0,1,2,0.0,0.3,22.020251177394034,11.913622885051456,33.93387406244549,68.56650832012458,312.58074951171875,98.80963897705078,0.0,-90.70831298828125
v5_ct0.60_ht0.35_cl15,0.6,0.35,15,1,2,0.0,0.3,31.23097854526426,6.7242107099249955,37.955189255189254,63.14011054068425,267.2297058105469,99.48543548583984,0.0,-102.10881805419922
v5_ct0.60_ht0.45_cl0,0.6,0.45,0,1,2,0.0,0.3,22.020251177394034,11.131972789115647,33.15222396650968,69.01223918169929,311.3363037109375,97.99844360351562,0.0,-89.1109619140625
v5_ct0.60_ht0.45_cl15,0.6,0.45,15,1,2,0.0,0.3,31.23097854526426,6.153183324611896,37.38416186987615,63.51291726427445,266.5614013671875,98.33009338378906,0.0,-100.87737274169922
v5_ct0.70_ht0.25_cl0,0.7,0.25,0,1,2,0.0,0.3,21.419134833420546,13.494383394383394,34.91351822780394,67.81342048065123,318.3450012207031,100.45565032958984,0.0,-93.06979370117188
v5_ct0.70_ht0.25_cl15,0.7,0.25,15,1,2,0.0,0.3,30.45051456480028,7.996302110587824,38.4468166753881,62.51466436924882,270.77996826171875,101.52008056640625,0.0,-104.08248901367188
v5_ct0.70_ht0.35_cl0,0.7,0.35,0,1,2,0.0,0.3,21.419134833420546,12.514739229024944,33.93387406244549,68.34788457920826,316.7978210449219,99.52106475830078,0.0,-91.09934997558594
v5_ct0.70_ht0.35_cl15,0.7,0.35,15,1,2,0.0,0.3,30.45051456480028,7.240607012035584,37.69112157683586,62.97395699673718,269.88458251953125,100.22051239013672,0.0,-102.4961166381836
v5_ct0.70_ht0.45_cl0,0.7,0.45,0,1,2,0.0,0.3,21.419134833420546,11.733089133089134,33.15222396650968,68.79317631940481,315.5365295410156,98.775634765625,0.0,-89.49474334716797
v5_ct0.70_ht0.45_cl15,0.7,0.45,15,1,2,0.0,0.3,30.45051456480028,6.658485958485959,37.10900052328624,63.3527101587418,269.1952819824219,99.18925476074219,0.0,-101.2452621459961
